

i	k		idle		success		collision
---------------------------------------------
0	1		0.000		100.000		0.000
0	2		0.000		54.152		45.848
0	4		0.000		48.322		51.678
0	8		0.000		44.622		55.378
0	16		0.000		43.465		56.535
0	32		0.000		42.138		57.862
0	64		0.000		41.736		58.264
0	128		0.000		41.305		58.695
0	256		0.000		40.608		59.392
0	512		0.000		40.914		59.086
0	1024		0.000		50.024		49.976
2	1		75.000		25.000		0.000
2	2		48.355		44.403		7.242
2	4		16.409		58.219		25.372
2	8		2.447		52.419		45.134
2	16		0.250		47.271		52.479
2	32		0.013		43.925		56.063
2	64		0.000		42.621		57.379
2	128		0.000		41.759		58.241
2	256		0.000		40.848		59.152
2	512		0.000		41.046		58.954
2	1024		0.000		50.098		49.902
4	1		93.750		6.250		0.000
4	2		86.708		12.319		0.973
4	4		73.290		23.818		2.892
4	8		47.774		40.528		11.698
4	16		17.997		52.677		29.326
4	32		3.234		50.765		46.001
4	64		0.191		46.473		53.336
4	128		0.000		43.682		56.318
4	256		0.000		41.838		58.161
4	512		0.000		41.579		58.421
4	1024		0.000		50.394		49.606
6	1		98.438		1.562		0.000
6	2		96.818		3.122		0.060
6	4		93.643		6.237		0.120
6	8		86.937		12.288		0.776
6	16		73.034		23.359		3.606
6	32		48.126		39.174		12.700
6	64		19.253		51.129		29.619
6	128		3.446		51.078		45.476
6	256		0.172		46.248		53.580
6	512		0.000		43.858		56.142
6	1024		0.000		51.613		48.387
8	1		99.609		0.391		0.000
8	2		99.219		0.781		0.000
8	4		98.438		1.562		0.000
8	8		96.872		3.109		0.019
8	16		93.687		6.185		0.128
8	32		87.266		12.029		0.706
8	64		74.475		22.742		2.783
8	128		51.374		39.019		9.607
8	256		20.817		53.604		25.578
8	512		2.177		54.622		43.201
8	1024		0.000		57.143		42.857
10	1		99.902		0.098		0.000
10	2		99.805		0.195		0.000
10	4		99.609		0.391		0.000
10	8		99.219		0.781		0.000
10	16		98.438		1.562		0.000
10	32		96.875		3.125		0.000
10	64		93.750		6.250		0.000
10	128		87.500		12.500		0.000
10	256		75.000		25.000		0.000
10	512		50.000		50.000		0.000
10	1024		0.000		100.000		0.000
